V1,V2,V3,V4,V5,V6,V7,V8,V9,Time to complete,V10,mTurkCode,Consent,Instructions,Q36_1,Q36_2,Q36_3,Q36_4,WF_Ag,WF_Cm,BF_Ag,BF_Cm,WM_Ag,WM_Cm,BM_Ag,BM_Cm,T_race,T_gender,T_behavior,leadev,lead_well,lead_max,lead_admire,lead_respec,salary,PvsS,Q36,manipcheck,Manip_race,Manip_race_TEXT,Manip_position,Manip_educ,race,race_TEXT,age,gender,gender_TEXT,educ,workex,pol_s,pol_e,Q38,Q38,LocationLatitude,LocationLongitude,LocationAccuracy
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,,Finished,mTurkCode,"By answering the following questions, you are participating in a study being performed by researc...","On the following page, you will read a brief biography and account of a workplace encounter. Plea...",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Molly Johnson is a Senior Vice President at a major consulting firm, where she has worked for twe...","Molly Johnson is a Senior Vice President at a major consulting firm, where she has worked for twe...","Aliyah Johnson is a Senior Vice President at a major consulting firm, where she has worked for tw...","Aliyah Johnson is a Senior Vice President at a major consulting firm, where she has worked for tw...","Mark Johnson is a Senior Vice President at a major consulting firm, where he has worked for twent...","Mark Johnson is a Senior Vice President at a major consulting firm, where he has worked for twent...","Darnell Johnson is a Senior Vice President at a major consulting firm, where he has worked for tw...","Darnell Johnson is a Senior Vice President at a major consulting firm, where he has worked for tw...",,,,Please rate the individual you just read about on the following questions. ,How well do you think the leader handled the situation with the employee?,How effective is the leader at maximizing the employee's performance?,How much do you think the leader is admired by his or her employees?,How respected is this leader by the other executives at the company?,How much do you believe the leader's annual salary should be?,How much does the leader’s reaction reflect something about his/her personality versus something...,"Please answer the following questions about the passage you just read. If you are not sure, take...",,What is the race/ethnicity of the individual you read about?,What is the race/ethnicity of the individual you read about?-TEXT,What is the position that this individual holds?,From where did this individual receive his/her highest degree?,What is your race/ethnicity? ,What is your race/ethnicity? -TEXT,What is your age?,What is your gender?,What is your gender?-TEXT,What is your highest level of education?,How many years of work experience do you have?,How socially liberal or conservative do you consider yourself?,How economically liberal or conservative do you consider yourself?,Did you run into any issues or notice anything unusual in this survey?,"Thank you for participating in the study. Your involvement is very important to us, and without i...",LocationLatitude,LocationLongitude,LocationAccuracy
R_2du6NmEAtbpHaRR,Default Response Set,Anonymous,,,97.87.121.49,0,10:18:46 PM,10:20:15 PM,0:01:29,1,8928868,1,1,0,0,31.806,0,1,,,,,,,,1,2,1,1,5,6,6,6,6,5,1,0,1,,4,London,1,,35,1,,5,5,1,1,no,1,38.50320435,-89.14969635,-1
R_2anPraKAuR9xphU,Default Response Set,Anonymous,,,171.49.208.28,0,10:18:59 PM,10:20:45 PM,0:01:46,1,7266682,1,1,0,0,33.271,0,,,,,,1,,,1,1,2,1,5,7,5,7,1,5,1,1,3,,1,NORTH,2,,29,1,,5,2,2,1,NO,1,13.08329773,80.28329468,-1
R_2Pnw4tTW48yubhj,Default Response Set,Anonymous,,,24.90.180.91,0,10:19:28 PM,10:21:15 PM,0:01:47,1,7113493,1,1,0,0,31.278,0,,,,,,,1,,2,1,1,1,5,6,6,7,4,2,1,0,2,,1,London School of Economics,1,,40,2,,5,6,2,3,n/a,1,40.75059509,-73.82039642,-1
R_3ndRoCrSCj88yjZ,Default Response Set,Anonymous,,,173.217.96.226,0,10:19:03 PM,10:21:23 PM,0:02:20,1,2831062,1,1,30.377,30.377,32.104,1,,,1,,,,,,2,2,1,1,1,1,1,1,1,1,1,0,2,,3,London Business School,1,,31,2,,3,2,6,6,,1,30.13459778,-93.27300262,-1
R_2bNm6z6arY0RnuQ,Default Response Set,Anonymous,,,104.10.82.85,0,10:18:56 PM,10:26:29 PM,0:07:33,1,1836477,1,1,0,0,236.226,0,,,,,1,,,,1,1,1,1,5,7,6,6,5,5,1,0,1,,2,harvard,1,,24,1,,4,2,4,4,none,1,30.54229736,-97.91760254,-1
R_1gAdQa3IOXZ1NUw,Default Response Set,Anonymous,,,104.174.223.0,0,10:29:43 PM,10:31:34 PM,0:01:51,1,8405918,1,1,1.945,3.881,32.362,2,,1,,,,,,,1,2,2,1,4,4,6,6,5,2,1,0,1,,3,USC,3,,27,1,,5,3,4,4,None,1,34.07899475,-117.8493958,-1
R_30p16PmlVasiFra,Default Response Set,Anonymous,,,162.204.180.25,0,10:35:38 PM,10:38:26 PM,0:02:48,1,8013177,1,1,0,0,59.32,0,,,,,,1,,,1,1,2,1,6,6,7,8,3,6,1,0,1,,2,london school of business,1,,33,1,,5,4,2,2,no,1,32.73680115,-117.1277008,-1
R_3sh5lukdRG3LjKe,Default Response Set,Anonymous,,,1.23.248.36,0,10:41:08 PM,10:45:37 PM,0:04:29,1,6588475,1,1,18.955,181.728,182.099,4,,,,1,,,,,2,2,2,1,6,8,8,8,5,6,1,1,1,,3,University of Southern California,5,,28,1,,5,3,5,4,no,1,18.9750061,72.82580566,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0:02:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,